hand_category,hand,tries,win,draw
15,3,1000,20.9,0.0
15,4,1000,21.0,0.0
16,1,1000,23.3,0.0
16,2,1000,22.5,0.0
16,3,1000,22.8,0.0
16,4,1000,21.9,0.0
17,1,1000,22.0,11.1
17,2,1000,23.3,11.1
17,3,1000,18.8,11.1
18,1,1000,32.4,10.100000000000001
18,2,1000,34.699999999999996,10.2
18,3,1000,30.099999999999998,12.2
19,1,1000,45.300000000000004,12.1
19,2,1000,47.099999999999994,9.1
20,1,1000,56.8,34.8
20,2,1000,56.10000000000001,31.4
21,1,1000,89.1,10.9
12,1,1000,23.0,0.0
12,2,1000,21.4,0.0
12,3,1000,22.0,0.0
12,4,1000,23.0,0.0
12,5,1000,23.5,0.0
12,6,1000,20.9,0.0
13,1,1000,22.400000000000002,0.0
13,2,1000,21.7,0.0
13,3,1000,21.5,0.0
13,4,1000,22.7,0.0
13,5,1000,22.2,0.0
14,1,1000,23.7,0.0
14,2,1000,19.900000000000002,0.0
14,3,1000,21.8,0.0
14,4,1000,20.200000000000003,0.0
14,5,1000,21.8,0.0
15,1,1000,21.8,0.0
15,2,1000,19.900000000000002,0.0
15,3,1000,22.900000000000002,0.0
15,4,1000,21.5,0.0
16,1,1000,21.9,0.0
16,2,1000,20.4,0.0
16,3,1000,22.3,0.0
16,4,1000,23.200000000000003,0.0
17,1,1000,21.9,11.4
17,2,1000,23.599999999999998,9.2
17,3,1000,22.7,13.200000000000001
18,1,1000,32.0,13.200000000000001
18,2,1000,35.4,10.5
18,3,1000,33.800000000000004,11.1
19,1,1000,45.9,9.8
19,2,1000,45.800000000000004,10.9
20,1,1000,56.99999999999999,34.1
20,2,1000,56.99999999999999,31.4
21,1,1000,90.7,9.3
12,1,1000,21.7,0.0
12,2,1000,20.599999999999998,0.0
12,3,1000,21.6,0.0
12,4,1000,22.0,0.0
12,5,1000,21.4,0.0
12,6,1000,20.8,0.0
13,1,1000,23.5,0.0
13,2,1000,21.3,0.0
13,3,1000,22.5,0.0
13,4,1000,23.799999999999997,0.0
13,5,1000,20.599999999999998,0.0
14,1,1000,19.5,0.0
14,2,1000,19.2,0.0
14,3,1000,21.9,0.0
14,4,1000,21.9,0.0
14,5,1000,23.3,0.0
15,1,1000,20.0,0.0
15,2,1000,24.4,0.0
15,3,1000,20.4,0.0
15,4,1000,20.8,0.0
16,1,1000,21.6,0.0
16,2,1000,21.099999999999998,0.0
16,3,1000,22.7,0.0
16,4,1000,23.1,0.0
17,1,1000,20.7,12.6
17,2,1000,21.5,10.2
17,3,1000,22.6,11.700000000000001
18,1,1000,33.5,10.6
18,2,1000,34.1,9.9
18,3,1000,35.9,12.3
19,1,1000,40.2,12.3
19,2,1000,47.599999999999994,8.9
20,1,1000,55.60000000000001,34.8
20,2,1000,56.2,31.5
21,1,1000,90.2,9.8
12,1,1000,22.6,0.0
12,2,1000,21.0,0.0
12,3,1000,21.0,0.0
12,4,1000,21.3,0.0
12,5,1000,23.0,0.0
12,6,1000,20.599999999999998,0.0
13,1,1000,21.7,0.0
13,2,1000,20.4,0.0
13,3,1000,21.6,0.0
13,4,1000,21.3,0.0
13,5,1000,21.2,0.0
14,1,1000,24.0,0.0
14,2,1000,20.200000000000003,0.0
14,3,1000,20.7,0.0
14,4,1000,21.099999999999998,0.0
14,5,1000,22.2,0.0
15,1,1000,19.400000000000002,0.0
15,2,1000,20.5,0.0
15,3,1000,22.0,0.0
15,4,1000,21.2,0.0
16,1,1000,19.1,0.0
16,2,1000,22.0,0.0
16,3,1000,21.3,0.0
16,4,1000,23.7,0.0
17,1,1000,18.7,14.6
17,2,1000,19.3,12.0
17,3,1000,21.4,12.3
18,1,1000,33.4,12.3
18,2,1000,37.3,10.2
18,3,1000,33.2,13.0
19,1,1000,44.0,11.4
19,2,1000,44.6,10.100000000000001
20,1,1000,55.7,33.4
20,2,1000,57.099999999999994,31.3
21,1,1000,89.1,10.9
12,1,1000,24.5,0.0
12,2,1000,20.4,0.0
12,3,1000,20.8,0.0
12,4,1000,24.5,0.0
12,5,1000,23.799999999999997,0.0
12,6,1000,18.6,0.0
13,1,1000,20.200000000000003,0.0
13,2,1000,21.3,0.0
13,3,1000,19.3,0.0
13,4,1000,22.8,0.0
13,5,1000,22.1,0.0
14,1,1000,22.2,0.0
14,2,1000,21.0,0.0
14,3,1000,23.5,0.0
14,4,1000,22.0,0.0
14,5,1000,25.1,0.0
15,1,1000,22.0,0.0
15,2,1000,22.8,0.0
15,3,1000,19.2,0.0
15,4,1000,20.8,0.0
16,1,1000,22.3,0.0
16,2,1000,24.7,0.0
16,3,1000,23.9,0.0
16,4,1000,23.3,0.0
17,1,1000,21.4,10.6
17,2,1000,23.0,11.200000000000001
17,3,1000,22.6,12.5
18,1,1000,32.7,11.799999999999999
18,2,1000,32.5,9.8
18,3,1000,34.4,11.5
19,1,1000,43.8,11.3
19,2,1000,48.4,9.700000000000001
20,1,1000,57.3,32.2
20,2,1000,59.4,29.4
21,1,1000,90.60000000000001,9.4
12,1,1000,20.4,0.0
12,2,1000,20.9,0.0
12,3,1000,19.8,0.0
12,4,1000,21.5,0.0
